ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
4025299	4025299	0	0
4025300	4025300	0	0
4025301	4025301	0	0
4025302	4025302	0	0
4025303	4025303	0	0
4025304	4025304	0	0
4025305	4025305	0	0
4025306	4025306	0	0
4025106	4025106	0	0
4025107	4025107	0	0
4025108	4025108	0	0
4025109	4025109	0	0
4025110	4025110	0	0
4025111	4025111	0	0
4025113	4025113	0	0
4025115	4025115	0	0
4025128	4025128	0	0
4025131	4025131	0	0
4025132	4025132	0	0
4025134	4025134	0	0
4025135	4025135	0	0
4025136	4025136	0	0
4025137	4025137	0	0
4025138	4025138	0	0
4025139	4025139	0	0
4025140	4025140	0	0
4025141	4025141	0	0
4025142	4025142	0	0
4023471	4023471	0	0
4023473	4023473	0	0
4023474	4023474	0	0
4023475	4023475	0	0
4023476	4023476	0	0
4023477	4023477	0	0
4023478	4023478	0	0
4023480	4023480	0	0
4023481	4023481	0	0
4023482	4023482	0	0
4023483	4023483	0	0
4023484	4023484	0	0
4023486	4023486	0	0
4023487	4023487	0	0
4023488	4023488	0	0
4023489	4023489	0	0
4023490	4023490	0	0
4023491	4023491	0	0
4023492	4023492	0	0
4023493	4023493	0	0
4023494	4023494	0	0
4023496	4023496	0	0
4023498	4023498	0	0
4023499	4023499	0	0
4023500	4023500	0	0
4023501	4023501	0	0
4023502	4023502	0	0
4023503	4023503	0	0
4023504	4023504	0	0
4023505	4023505	0	0
4023506	4023506	0	0
4023507	4023507	0	0
4023508	4023508	0	0
4023509	4023509	0	0
4023510	4023510	0	0
4023511	4023511	0	0
4023512	4023512	0	0
4023513	4023513	0	0
4023514	4023514	0	0
4023515	4023515	0	0
4023516	4023516	0	0
4023517	4023517	0	0
4023518	4023518	0	0
4026735	4026735	0	0
4026736	4026736	0	0
4026737	4026737	0	0
4026738	4026738	0	0
4026739	4026739	0	0
4026740	4026740	0	0
4026741	4026741	0	0
4026743	4026743	0	0
4026744	4026744	0	0
4025208	4025208	0	0
4025210	4025210	0	0
4025211	4025211	0	0
4025222	4025222	0	0
4025223	4025223	0	0
4025224	4025224	0	0
4025225	4025225	0	0
4025226	4025226	0	0
4025227	4025227	0	0
4025228	4025228	0	0
4025229	4025229	0	0
4025230	4025230	0	0
4025231	4025231	0	0
4025233	4025233	0	0
4025235	4025235	0	0
4025236	4025236	0	0
4025237	4025237	0	0
4025238	4025238	0	0
4025239	4025239	0	0
4036752	4036752	0	0
4036753	4036753	0	0
4036754	4036754	0	0
4036755	4036755	0	0
4036756	4036756	0	0
4036757	4036757	0	0
4036758	4036758	0	0
4019914	4019914	0	0
4019915	4019915	0	0
4019623	4019623	0	0
4025518	4025518	0	0
4025519	4025519	0	0
4025307	4025307	0	0
4025308	4025308	0	0
4025310	4025310	0	0
4023521	4023521	0	0
4023259	4023259	0	0
4023260	4023260	0	0
4023261	4023261	0	0
4023262	4023262	0	0
4023263	4023263	0	0
4023264	4023264	0	0
4023265	4023265	0	0
4023266	4023266	0	0
4023301	4023301	0	0
4023302	4023302	0	0
4023303	4023303	0	0
4023304	4023304	0	0
4023305	4023305	0	0
4023306	4023306	0	0
4023307	4023307	0	0
4023311	4023311	0	0
4023312	4023312	0	0
4023333	4023333	0	0
4023334	4023334	0	0
4023335	4023335	0	0
4023337	4023337	0	0
4023338	4023338	0	0
4023339	4023339	0	0
4023340	4023340	0	0
4023341	4023341	0	0
4023331	4023331	0	0
4023342	4023342	0	0
4023343	4023343	0	0
4023345	4023345	0	0
4023354	4023354	0	0
4023358	4023358	0	0
4023359	4023359	0	0
4023361	4023361	0	0
4023362	4023362	0	0
4023367	4023367	0	0
4023368	4023368	0	0
4023369	4023369	0	0
4023374	4023374	0	0
4023375	4023375	0	0
4023376	4023376	0	0
4023377	4023377	0	0
4023380	4023380	0	0
4023381	4023381	0	0
4023383	4023383	0	0
4023384	4023384	0	0
4023385	4023385	0	0
4023387	4023387	0	0
4023388	4023388	0	0
4023398	4023398	0	0
4023409	4023409	0	0
4023413	4023413	0	0
4023419	4023419	0	0
4023440	4023440	0	0
4023139	4023139	0	0
4024906	4024906	0	0
4024907	4024907	0	0
4024908	4024908	0	0
4024909	4024909	0	0
4024910	4024910	0	0
4024911	4024911	0	0
4024912	4024912	0	0
4024913	4024913	0	0
4024914	4024914	0	0
4024915	4024915	0	0
4024916	4024916	0	0
4024917	4024917	0	0
4024919	4024919	0	0
4024920	4024920	0	0
4024921	4024921	0	0
4024722	4024722	0	0
4024723	4024723	0	0
4024724	4024724	0	0
4024725	4024725	0	0
4024726	4024726	0	0
4024727	4024727	0	0
4024728	4024728	0	0
4024730	4024730	0	0
4024732	4024732	0	0
4024733	4024733	0	0
4024734	4024734	0	0
4024735	4024735	0	0
4024736	4024736	0	0
4024737	4024737	0	0
4024738	4024738	0	0
4024739	4024739	0	0
4024766	4024766	0	0
4024767	4024767	0	0
4024768	4024768	0	0
4024769	4024769	0	0
4024731	4024731	0	0
4024770	4024770	0	0
4024771	4024771	0	0
4024772	4024772	0	0
4024773	4024773	0	0
4026298	4026298	0	0
4026299	4026299	0	0
4026300	4026300	0	0
4026301	4026301	0	0
4026302	4026302	0	0
4026303	4026303	0	0
4026304	4026304	0	0
4026305	4026305	0	0
4026306	4026306	0	0
4026307	4026307	0	0
4026308	4026308	0	0
4026309	4026309	0	0
4026310	4026310	0	0
4026311	4026311	0	0
4026312	4026312	0	0
4026313	4026313	0	0
4026314	4026314	0	0
4026315	4026315	0	0
4026316	4026316	0	0
4026317	4026317	0	0
4026318	4026318	0	0
4026319	4026319	0	0
4026320	4026320	0	0
4026321	4026321	0	0
4026322	4026322	0	0
4026323	4026323	0	0
4026324	4026324	0	0
4026325	4026325	0	0
4026326	4026326	0	0
4026327	4026327	0	0
4024285	4024285	0	0
4024286	4024286	0	0
4024288	4024288	0	0
4024295	4024295	0	0
4024299	4024299	0	0
4024302	4024302	0	0
4025143	4025143	0	0
4025144	4025144	0	0
4025145	4025145	0	0
4025162	4025162	0	0
4026583	4026583	0	0
4026584	4026584	0	0
4026585	4026585	0	0
4026586	4026586	0	0
4026587	4026587	0	0
4026588	4026588	0	0
4026589	4026589	0	0
4026590	4026590	0	0
4026591	4026591	0	0
4026592	4026592	0	0
4026593	4026593	0	0
4026594	4026594	0	0
4026596	4026596	0	0
4026463	4026463	0	0
4026464	4026464	0	0
4026465	4026465	0	0
4026466	4026466	0	0
4024792	4024792	0	0
4024793	4024793	0	0
4024794	4024794	0	0
4024795	4024795	0	0
4024796	4024796	0	0
4024799	4024799	0	0
4024800	4024800	0	0
4024801	4024801	0	0
4024802	4024802	0	0
4024804	4024804	0	0
4024805	4024805	0	0
4024807	4024807	0	0
4024808	4024808	0	0
4024809	4024809	0	0
4024810	4024810	0	0
4024811	4024811	0	0
4024812	4024812	0	0
4024813	4024813	0	0
4024814	4024814	0	0
4024541	4024541	0	0
4024542	4024542	0	0
4024565	4024565	0	0
4024569	4024569	0	0
4024570	4024570	0	0
4024573	4024573	0	0
4024574	4024574	0	0
4024575	4024575	0	0
4024576	4024576	0	0
4024577	4024577	0	0
4024578	4024578	0	0
4024579	4024579	0	0
4024580	4024580	0	0
4024581	4024581	0	0
4024608	4024608	0	0
4024626	4024626	0	0
4024629	4024629	0	0
4024630	4024630	0	0
4024631	4024631	0	0
4024632	4024632	0	0
4024633	4024633	0	0
4024635	4024635	0	0
4024636	4024636	0	0
4025058	4025058	0	0
4025059	4025059	0	0
4025060	4025060	0	0
4025061	4025061	0	0
4025062	4025062	0	0
4025063	4025063	0	0
4025064	4025064	0	0
4025065	4025065	0	0
4025066	4025066	0	0
4025067	4025067	0	0
4025068	4025068	0	0
4025069	4025069	0	0
4025070	4025070	0	0
4025072	4025072	0	0
4025074	4025074	0	0
4025075	4025075	0	0
4025076	4025076	0	0
4025077	4025077	0	0
4025078	4025078	0	0
4025079	4025079	0	0
4025080	4025080	0	0
4025081	4025081	0	0
4025082	4025082	0	0
4025083	4025083	0	0
4025084	4025084	0	0
4025085	4025085	0	0
4025086	4025086	0	0
4025087	4025087	0	0
4025088	4025088	0	0
4025089	4025089	0	0
4025090	4025090	0	0
4026399	4026399	0	0
4026400	4026400	0	0
4026401	4026401	0	0
4026402	4026402	0	0
4026403	4026403	0	0
4026406	4026406	0	0
4026408	4026408	0	0
4026409	4026409	0	0
4026410	4026410	0	0
4026411	4026411	0	0
4026412	4026412	0	0
4026413	4026413	0	0
4026414	4026414	0	0
4026415	4026415	0	0
4026416	4026416	0	0
4026417	4026417	0	0
4026418	4026418	0	0
4026419	4026419	0	0
4026420	4026420	0	0
4026421	4026421	0	0
4024431	4024431	0	0
4023146	4023146	0	0
4026405	4026405	0	0
4023148	4023148	0	0
4023149	4023149	0	0
4023152	4023152	0	0
4023153	4023153	0	0
4023154	4023154	0	0
4023155	4023155	0	0
4023156	4023156	0	0
4023159	4023159	0	0
4023161	4023161	0	0
4026681	4026681	0	0
4026682	4026682	0	0
4026683	4026683	0	0
4026684	4026684	0	0
4026685	4026685	0	0
4026686	4026686	0	0
4026688	4026688	0	0
4026689	4026689	0	0
4026690	4026690	0	0
4026691	4026691	0	0
4026692	4026692	0	0
4026693	4026693	0	0
4026694	4026694	0	0
4025103	4025103	0	0
4025104	4025104	0	0
4025105	4025105	0	0
4024922	4024922	0	0
4024923	4024923	0	0
4024925	4024925	0	0
4024926	4024926	0	0
4024928	4024928	0	0
4024929	4024929	0	0
4024930	4024930	0	0
4024932	4024932	0	0
4024933	4024933	0	0
4024934	4024934	0	0
4024935	4024935	0	0
4024936	4024936	0	0
4024937	4024937	0	0
4024938	4024938	0	0
4024940	4024940	0	0
4024941	4024941	0	0
4024942	4024942	0	0
4024943	4024943	0	0
4024944	4024944	0	0
4024946	4024946	0	0
4024947	4024947	0	0
4024948	4024948	0	0
4024953	4024953	0	0
4024965	4024965	0	0
4024967	4024967	0	0
4024980	4024980	0	0
4024981	4024981	0	0
4024982	4024982	0	0
4024987	4024987	0	0
4025000	4025000	0	0
4025002	4025002	0	0
4025025	4025025	0	0
4025027	4025027	0	0
4025028	4025028	0	0
4025029	4025029	0	0
4025030	4025030	0	0
4025031	4025031	0	0
4025032	4025032	0	0
4025037	4025037	0	0
4025038	4025038	0	0
4025040	4025040	0	0
4024839	4024839	0	0
4024303	4024303	0	0
4024308	4024308	0	0
4024309	4024309	0	0
4024310	4024310	0	0
4024311	4024311	0	0
4024312	4024312	0	0
4024313	4024313	0	0
4024314	4024314	0	0
4024315	4024315	0	0
4024316	4024316	0	0
4024317	4024317	0	0
4024318	4024318	0	0
4024319	4024319	0	0
4024320	4024320	0	0
4024321	4024321	0	0
4024322	4024322	0	0
4024323	4024323	0	0
4024324	4024324	0	0
4024325	4024325	0	0
4024326	4024326	0	0
4024327	4024327	0	0
4024141	4024141	0	0
4024142	4024142	0	0
4024143	4024143	0	0
4024144	4024144	0	0
4024147	4024147	0	0
4024148	4024148	0	0
4024149	4024149	0	0
4024150	4024150	0	0
4024151	4024151	0	0
4024152	4024152	0	0
4024154	4024154	0	0
4024156	4024156	0	0
4024158	4024158	0	0
4024159	4024159	0	0
4024160	4024160	0	0
4019398	4019398	0	0
4019399	4019399	0	0
4019400	4019400	0	0
4019402	4019402	0	0
4019439	4019439	0	0
4019481	4019481	0	0
4019482	4019482	0	0
4019483	4019483	0	0
4019484	4019484	0	0
4019485	4019485	0	0
4019486	4019486	0	0
4019487	4019487	0	0
4019488	4019488	0	0
4019489	4019489	0	0
4019490	4019490	0	0
4019491	4019491	0	0
4019493	4019493	0	0
4019494	4019494	0	0
4019495	4019495	0	0
4019496	4019496	0	0
4019212	4019212	0	0
4019499	4019499	0	0
4024637	4024637	0	0
4024638	4024638	0	0
4024641	4024641	0	0
4024645	4024645	0	0
4024649	4024649	0	0
4024655	4024655	0	0
4026244	4026244	0	0
4026245	4026245	0	0
4026246	4026246	0	0
4026247	4026247	0	0
4026248	4026248	0	0
4026249	4026249	0	0
4026250	4026250	0	0
4026251	4026251	0	0
4026252	4026252	0	0
4026253	4026253	0	0
4026254	4026254	0	0
4026255	4026255	0	0
4026094	4026094	0	0
4026257	4026257	0	0
4026258	4026258	0	0
4026259	4026259	0	0
4026260	4026260	0	0
4026261	4026261	0	0
4026262	4026262	0	0
4026263	4026263	0	0
4026265	4026265	0	0
4026266	4026266	0	0
4026267	4026267	0	0
4026085	4026085	0	0
4026086	4026086	0	0
4026087	4026087	0	0
4026088	4026088	0	0
4026090	4026090	0	0
4026091	4026091	0	0
4026092	4026092	0	0
4024189	4024189	0	0
4024190	4024190	0	0
4024191	4024191	0	0
4024192	4024192	0	0
4024193	4024193	0	0
4024194	4024194	0	0
4024195	4024195	0	0
4024196	4024196	0	0
4024198	4024198	0	0
4024212	4024212	0	0
4024213	4024213	0	0
4024222	4024222	0	0
4024226	4024226	0	0
4024231	4024231	0	0
4024048	4024048	0	0
4024049	4024049	0	0
4024050	4024050	0	0
4024051	4024051	0	0
4024052	4024052	0	0
4024053	4024053	0	0
4024054	4024054	0	0
4024055	4024055	0	0
4024056	4024056	0	0
4024057	4024057	0	0
4024058	4024058	0	0
4024059	4024059	0	0
4024060	4024060	0	0
4024061	4024061	0	0
4024062	4024062	0	0
4024063	4024063	0	0
4024064	4024064	0	0
4024065	4024065	0	0
4024066	4024066	0	0
4024069	4024069	0	0
4024070	4024070	0	0
4024471	4024471	0	0
4024472	4024472	0	0
4024473	4024473	0	0
4024474	4024474	0	0
4024475	4024475	0	0
4024476	4024476	0	0
4024477	4024477	0	0
4024478	4024478	0	0
4024479	4024479	0	0
4024480	4024480	0	0
4024481	4024481	0	0
4024498	4024498	0	0
4024499	4024499	0	0
4024500	4024500	0	0
4024505	4024505	0	0
4024506	4024506	0	0
4024508	4024508	0	0
4024511	4024511	0	0
4024512	4024512	0	0
4024515	4024515	0	0
