concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
4324536	4084286	Occurs before	20110731	20991231	
4133996	4291801	Part of	20110731	20991231	
4177734	4242437	Part of	20110731	20991231	
4235039	4124020	Method of	20110731	20991231	
4043842	4242129	Method of	20110731	20991231	
4176185	4118429	Part of	20110731	20991231	
4044525	40483102	Method of	20110731	20991231	
4127971	4073525	Subst used by	20110731	20991231	
4177661	372913	Finding site of	20110731	20991231	
4352137	4050579	Part of	20110731	20991231	
4127027	4131375	Component of	20110731	20991231	
4188330	4020128	Component of	20110731	20991231	
4133996	4179436	Part of	20110731	20991231	
4177036	4175019	Asso morph of	20110731	20991231	
4235345	4246749	Part of	20110731	20991231	
4300948	4270701	Finding site of	20110731	20991231	
4044190	4206289	Method of	20110731	20991231	
4148390	4197725	Dir morph of	20110731	20991231	
4044525	4012305	Method of	20110731	20991231	
4214857	4308796	Device used by	20110731	20991231	
4145283	313221	Finding site of	20110731	20991231	
4288862	4132693	Active ing of	20110731	20991231	
4111444	4130904	Part of	20110731	20991231	
4152180	4041496	Interprets of	20110731	20991231	
4180318	4110225	Part of	20110731	20991231	
4098214	4157640	Interprets of	20110731	20991231	
4322976	4019958	Asso proc of	20110731	20991231	
4093357	4262985	Finding site of	20110731	20991231	
4312527	4287375	Method of	20110731	20991231	
4047773	4263089	Asso morph of	20110731	20991231	
4178347	4286428	Part of	20110731	20991231	
4102766	4303969	Finding site of	20110731	20991231	
4081836	4161109	Method of	20110731	20991231	
4231000	4047001	Dir device of	20110731	20991231	
40480911	4337280	Pathology of	20110731	20991231	
4096339	194680	Asso morph of	20110731	20991231	
4227006	4092812	Component of	20110731	20991231	
4165531	4225663	Finding site of	20110731	20991231	
4282379	4089775	Asso morph of	20110731	20991231	
4108283	4233113	Part of	20110731	20991231	
4044177	4007813	Method of	20110731	20991231	
4216791	4172989	Interprets of	20110731	20991231	
4092452	4087366	Subsumes	20110731	20991231	
4137274	4140634	Subsumes	20110731	20991231	
380378	4171694	Subsumes	20110731	20991231	
4263508	4063749	Subsumes	20110731	20991231	
4092959	4137702	Subsumes	20110731	20991231	
4039625	4038581	Subsumes	20110731	20991231	
4122455	4125137	Subsumes	20110731	20991231	
375239	4318864	Subsumes	20110731	20991231	
4209441	4325599	Subsumes	20110731	20991231	
4159263	4258514	Part of	20110731	20991231	
4117981	4338460	Method of	20110731	20991231	
4075196	4073738	Subsumes	20110731	20991231	
4133590	4130826	Subsumes	20110731	20991231	
4221220	4224108	Subsumes	20110731	20991231	
4100932	4153962	Subsumes	20110731	20991231	
4336471	4339631	Subsumes	20110731	20991231	
4255687	4258363	Subsumes	20110731	20991231	
4231770	4205934	Subsumes	20110731	20991231	
4120624	4185261	Subsumes	20110731	20991231	
4134156	4295861	Subsumes	20110731	20991231	
4026504	4033237	Subsumes	20110731	20991231	
436250	4009433	Subsumes	20110731	20991231	
4007831	40486051	Subsumes	20110731	20991231	
443392	4152045	Focus of	20110731	20991231	
4219601	4095409	Finding site of	20110731	20991231	
4119218	4123057	Interprets of	20110731	20991231	
4111270	4282095	Part of	20110731	20991231	
4102766	4302362	Finding site of	20110731	20991231	
4044700	4013010	Method of	20110731	20991231	
4253786	4108229	Finding site of	20110731	20991231	
4084319	4207368	Device used by	20110731	20991231	
4023909	4133657	Component of	20110731	20991231	
4326835	4068405	Subsumes	20110731	20991231	
4081213	4077701	Subsumes	20110731	20991231	
4046266	4302799	Subsumes	20110731	20991231	
4146273	4248993	Subsumes	20110731	20991231	
436101	4099852	Subsumes	20110731	20991231	
4133843	4099313	Subsumes	20110731	20991231	
4267069	4112634	Subsumes	20110731	20991231	
4193989	4119927	Subsumes	20110731	20991231	
4087322	4296018	Subsumes	20110731	20991231	
4124754	4253534	Subst used by	20110731	20991231	
4271006	4098851	Asso morph of	20110731	20991231	
4117981	4291180	Method of	20110731	20991231	
4029540	4070060	Asso morph of	20110731	20991231	
4134420	4107383	Part of	20110731	20991231	
40480911	437502	Pathology of	20110731	20991231	
4312510	4018852	Clinical course of	20110731	20991231	
4052785	4152252	Interprets of	20110731	20991231	
4159449	4197025	Part of	20110731	20991231	
4290594	4301123	Device used by	20110731	20991231	
4040543	4238883	Part of	20110731	20991231	
4294600	4201339	Dose form of	20110731	20991231	
4043866	4258831	Method of	20110731	20991231	
140266	202001	Subsumes	20110731	20991231	
4026628	4026630	Subsumes	20110731	20991231	
4274256	4114087	Subsumes	20110731	20991231	
4126322	4238874	Subsumes	20110731	20991231	
4048234	4099910	Subsumes	20110731	20991231	
4165792	4302223	Finding site of	20110731	20991231	
4128076	4144338	Subsumes	20110731	20991231	
4353824	4108599	Subsumes	20110731	20991231	
4297612	4138396	Causative agent of	20110731	20991231	
4317530	4118043	Dir morph of	20110731	20991231	
4178040	4283383	Part of	20110731	20991231	
4056092	4119077	Part of	20110731	20991231	
4112563	4279863	Laterality of	20110731	20991231	
4232572	4295436	Component of	20110731	20991231	
4133989	4259003	Subsumes	20110731	20991231	
4168384	4311377	Subsumes	20110731	20991231	
4137834	4261544	Subsumes	20110731	20991231	
4312264	4322102	Subsumes	20110731	20991231	
4046263	4214662	Subsumes	20110731	20991231	
4007173	4044177	Has method	20110731	20991231	
4275831	4159271	Has part of	20110731	20991231	
4207495	4159452	Has part of	20110731	20991231	
40485372	4013298	Has access	20110731	20991231	
4014522	4041254	Has finding site	20110731	20991231	
78842	4128342	Has finding site	20110731	20991231	
4316613	4233815	Has finding site	20110731	20991231	
4198018	4207319	Has method	20110731	20991231	
4066487	4109438	Has asso morph	20110731	20991231	
4176201	4159271	Has part of	20110731	20991231	
4134195	4116384	Has active ing	20110731	20991231	
4280827	4153243	Has finding site	20110731	20991231	
4303096	4207319	Has method	20110731	20991231	
4052241	4044545	Has method	20110731	20991231	
4198103	4133034	Has finding site	20110731	20991231	
4107087	4312272	Has method	20110731	20991231	
4261529	4352254	Has part of	20110731	20991231	
4124811	4123698	Has interprets	20110731	20991231	
4189623	4294756	Has dose form	20110731	20991231	
4246138	4312326	Has asso morph	20110731	20991231	
4144424	4129768	Has revision status	20110731	20991231	
4303543	4266337	Has asso morph	20110731	20991231	
4076888	4129768	Has revision status	20110731	20991231	
4193522	4208981	Has dir proc site	20110731	20991231	
4299651	4159426	Has part of	20110731	20991231	
4304931	4154920	Has interprets	20110731	20991231	
4284773	4236799	Has part of	20110731	20991231	
4004156	4116830	Has occurrence	20110731	20991231	
4095396	4176336	Has part of	20110731	20991231	
4120496	4005960	Has dir proc site	20110731	20991231	
